Time,Channel A
(us),(V)

5.74499997,-0.35584580
5.74999997,-0.35584580
5.75499997,-0.35584580
5.75999996,-0.35584580
5.76499996,-0.35584580
5.76999996,-0.35584580
5.77499996,-0.35584580
5.77999996,-0.35584580
5.78499996,-0.35584580
5.78999996,-0.35584580
5.79499996,-0.35584580
5.79999996,-0.35584580
5.80499996,-0.35584580
5.80999996,-0.35584580
5.81499996,-0.35584580
5.81999996,-0.35584580
5.82499996,-0.35584580
5.82999996,-0.35584580
5.83499996,-0.35584580
5.83999996,-0.35584580
5.84499996,-0.35584580
5.84999996,-0.35584580
5.85499996,-0.35584580
5.85999996,-0.35584580
5.86499996,-0.35584580
5.86999996,-0.35584580
5.87499996,-0.35584580
5.87999996,-0.35584580
5.88499996,-0.35584580
5.88999996,-0.35584580
5.89499996,-0.35584580
5.89999996,-0.35584580
5.90499996,-0.35584580
5.90999996,-0.35584580
5.91499996,-0.35584580
5.91999996,-0.35584580
5.92499996,-0.35584580
5.92999996,-0.35584580
5.93499996,-0.35584580
5.93999996,-0.35584580
5.94499996,-0.35584580
5.94999996,-0.35584580
5.95499996,-0.35584580
5.95999996,-0.35584580
5.96499996,-0.35584580
5.96999996,-0.35584580
5.97499996,-0.35584580
5.97999996,-0.35584580
5.98499996,-0.35584580
5.98999996,-0.35584580
5.99499996,-0.35584580
5.99999996,-0.35584580
6.00499996,-0.35584580
6.00999996,-0.35584580
6.01499996,-0.35584580
6.01999996,-0.35584580
6.02499996,-0.35584580
6.02999996,-0.35584580
6.03499996,-0.35584580
6.03999996,-0.35584580
6.04499996,-0.35584580
6.04999996,-0.35584580
6.05499996,-0.35584580
6.05999996,-0.35584580
6.06499996,-0.35584580
6.06999996,-0.35584580
6.07499996,-0.35584580
6.07999996,-0.35584580
6.08499996,-0.35584580
6.08999996,-0.35584580
6.09499996,-0.35584580
6.09999996,-0.35584580
6.10499996,-0.35584580
6.10999996,-0.35584580
6.11499996,-0.35584580
6.11999996,-0.35584580
6.12499996,-0.35584580
6.12999996,-0.35584580
6.13499996,-0.35584580
6.13999996,-0.35584580
6.14499996,-0.35584580
6.14999996,-0.35584580
6.15499996,-0.35584580
6.15999996,-0.35584580
6.16499996,-0.35584580
6.16999996,-0.35584580
6.17499996,-0.35584580
6.17999996,-0.35584580
6.18499996,-0.35584580
6.18999996,-0.35584580
6.19499996,-0.35584580
6.19999996,-0.35584580
6.20499996,-0.35584580
6.20999996,-0.35584580
6.21499996,-0.35584580
6.21999996,-0.35584580
6.22499996,-0.35584580
6.22999996,-0.35584580
6.23499996,-0.35584580
6.23999996,-0.35584580
6.24499996,-0.35584580
6.24999996,-0.35584580
6.25499996,-0.35584580
6.25999996,-0.35584580
6.26499996,-0.35584580
6.26999996,-0.35584580
6.27499996,-0.35584580
6.27999996,-0.35584580
6.28499996,-0.35584580
6.28999996,-0.35584580
6.29499996,-0.35584580
6.29999996,-0.35584580
6.30499996,-0.35584580
6.30999996,-0.35584580
6.31499996,-0.35584580
6.31999996,-0.35584580
6.32499996,-0.35584580
6.32999996,-0.35584580
6.33499996,-0.35584580
6.33999996,-0.35584580
6.34499996,-0.35584580
6.34999996,-0.35584580
6.35499996,-0.35584580
6.35999996,-0.35584580
6.36499996,-0.35584580
6.36999996,-0.35584580
6.37499996,-0.35584580
6.37999996,-0.35584580
6.38499996,-0.35584580
6.38999996,-0.35584580
6.39499996,-0.35584580
6.39999996,-0.35584580
6.40499996,-0.35584580
6.40999996,-0.35584580
6.41499996,-0.35584580
6.41999996,-0.35584580
6.42499996,-0.35584580
6.42999996,-0.35584580
6.43499996,-0.35584580
6.43999996,-0.35584580
6.44499996,-0.35584580
6.44999996,-0.35584580
6.45499996,-0.35584580
6.45999996,-0.35584580
6.46499996,-0.35584580
6.46999996,-0.35584580
6.47499996,-0.35584580
6.47999996,-0.35584580
6.48499996,-0.35584580
6.48999996,-0.35584580
6.49499996,-0.35584580
6.49999996,-0.35584580
6.50499996,-0.35584580
6.50999996,-0.35584580
6.51499996,-0.35584580
6.51999996,-0.35584580
6.52499996,-0.35584580
6.52999996,-0.35584580
6.53499996,-0.35584580
6.53999996,-0.35584580
6.54499996,-0.35584580
6.54999996,-0.35584580
6.55499996,-0.35584580
6.55999996,-0.35706660
6.56499996,-0.36255990
6.56999996,-0.33600880
6.57499996,-0.27863400
6.57999996,-0.27863400
6.58499996,-0.33600880
6.58999996,-0.36255990
6.59499996,-0.35706660
6.59999996,-0.35584580
6.60499996,-0.35584580
6.60999996,-0.35584580
6.61499996,-0.35584580
6.61999996,-0.35584580
6.62499996,-0.35584580
6.62999996,-0.35584580
6.63499996,-0.35584580
6.63999996,-0.35584580
6.64499996,-0.35584580
6.64999996,-0.35584580
6.65499996,-0.35584580
6.65999996,-0.35584580
6.66499996,-0.35584580
6.66999996,-0.35584580
6.67499996,-0.35584580
6.67999996,-0.35584580
6.68499996,-0.35584580
6.68999996,-0.35584580
6.69499996,-0.35584580
6.69999996,-0.35706660
6.70499996,-0.36255990
6.70999996,-0.33722950
6.71499996,-0.28534810
6.71999996,-0.25879700
6.72499996,-0.25879700
6.72999996,-0.28534810
6.73499996,-0.33722950
6.73999996,-0.36378060
6.74499996,-0.36378060
6.74999996,-0.33722950
6.75499996,-0.28534810
6.75999996,-0.25879700
6.76499996,-0.25879700
6.76999996,-0.28534810
6.77499996,-0.33722950
6.77999996,-0.36378060
6.78499996,-0.36378060
6.78999996,-0.33600880
6.79499996,-0.27863400
6.79999996,-0.27863400
6.80499996,-0.33600880
6.80999996,-0.36378060
6.81499996,-0.36378060
6.81999996,-0.33600880
6.82499996,-0.27863400
6.82999996,-0.28015990
6.83499996,-0.34241770
6.83999996,-0.34241770
6.84499996,-0.28015990
6.84999996,-0.27863400
6.85499996,-0.33600880
